HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
95923,Sudomotor function (QSART),4688.2264,-43.2176,1052.9755,33.1306,6.10E-97,1.25E-06,3.19E-06,0.0034,4248.4418,5128.0110,-60.6893,-25.7459,609.9079,1496.0431,10.9398,55.3213,0.2611,75
85303,Protein C / S,659.4349,11.5567,242.6984,-15.0684,7.84E-165,6.94E-14,4.35E-06,2.73E-11,612.1985,706.6713,8.5322,14.5813,139.1508,346.2460,-19.5026,-10.6341,0.7567,75
96110," Developmental screening, per standardized instrument, with scoring and documentation. ",244538.7820,2714.9384,73067.0782,-2437.6179,3.02E-188,4.64E-15,5.29E-06,0.0003,228160.4530,260917.1110,2035.9056,3393.9712,41613.6432,104520.5131,-3765.2153,-1110.0206,0.7238,75
93242,continuous cardiac monitoring and detection,0,-68.3858,186.3424,117.9566,0,0.0018,6.33E-06,1.29E-09,0,0,-111.2728,-25.4988,105.4541,267.2307,79.8640,156.0492,0.8625,42
93303,complete transthoracic echocardiogram (TTE) for congenital cardiac anomalies,23723.0425,272.5311,4327.3745,-235.2723,0.0000,1.93E-38,1.06E-05,3.32E-08,22702.2568,24743.8282,231.3323,313.7300,2401.8774,6252.8716,-318.7526,-151.7920,0.7909,75
96137, Psychological or neuropsychological test administration and scoring each additional 30 minutes. ,5439.4548,-0.0154,2258.3505,92.7042,1.81E-105,0.9995,1.16E-05,0.0012,4950.6649,5928.2447,-47.3507,47.3200,1248.9958,3267.7053,36.4190,148.9895,0.8135,63
86148,Beta-2 glycoprotein,639.7916,20.7047,504.4396,-52.0088,1.71E-106,5.58E-30,1.38E-05,5.87E-45,582.5829,697.0004,17.1371,24.2722,277.0393,731.8399,-59.2541,-44.7635,0.6809,75
86146,Anticardiolipin antibodies (IgG/IgM),2450.3724,79.7044,1132.8857,-26.2396,4.63E-89,5.47E-35,2.06E-05,0.0292,2210.3438,2690.4011,67.0456,92.3632,611.4406,1654.3308,-49.8232,-2.6560,0.9001,75
86147,Anticardiolipin antibodies (IgG/IgM),4235.2581,85.5127,1430.9686,-21.7621,1.63E-159,1.92E-29,2.28E-05,0.1549,3926.8004,4543.7158,70.6368,100.3886,768.8669,2093.0703,-51.7455,8.2212,0.8792,75
85245,Clotting factors (selective use),999.8153,26.2789,551.7335,-9.7395,4.57E-101,3.12E-22,2.34E-05,0.0776,907.9988,1091.6318,20.9671,31.5906,296.0734,807.3936,-20.5550,1.0759,0.8624,75
85025,CBC,2851183.8966,7734.0244,416507.7908,-1113.2767,0.0000,0.0017,3.31E-05,0.8107,2747760.3243,2954607.4690,2912.8232,12555.2257,219852.8743,613162.7073,-10221.0678,7994.5144,0.7122,75
85246,Clotting factors (selective use),1350.6499,29.2178,598.9768,-8.5937,3.14E-145,3.61E-20,8.41E-05,0.1836,1247.4906,1453.8091,22.9927,35.4428,300.4417,897.5119,-21.2587,4.0714,0.8598,75
85597,Platelet aggregation studies,355.4418,4.2849,161.8218,-1.8352,9.13E-159,7.92E-08,0.0001,0.2431,329.4929,381.3908,2.7207,5.8492,79.3849,244.2587,-4.9170,1.2466,0.7433,75
95910,Nerve conduction studies (depending on number of nerves tested),1847.6902,-5.1708,553.9306,4.7102,7.50E-98,0.1752,0.0001,0.4475,1675.1898,2020.1906,-12.6462,2.3046,269.6134,838.2477,-7.4448,16.8651,0.2906,75
Agg_clotting,,4316.6196,104.4801,1946.1172,-31.7122,5.65E-121,1.84E-23,0.0001,0.1389,3954.8792,4678.3601,83.9636,124.9965,946.8638,2945.3707,-73.7129,10.2884,0.8607,75
86038,ANA,62404.9172,226.6662,12382.4925,-63.3002,0.0000,0.0046,0.0002,0.6646,59331.7015,65478.1329,69.9575,383.3749,5957.7635,18807.2215,-349.4847,222.8844,0.6371,75
93227,Holter monitor (24-48 hr ECG),2237.2104,10.7997,663.8602,-36.1725,8.92E-104,0.0222,0.0002,1.20E-07,2034.5113,2439.9094,1.5445,20.0550,314.1855,1013.5350,-49.5646,-22.7804,0.3669,75
85240,Clotting factors (selective use),1511.8357,34.2394,643.3050,-10.1107,4.62E-111,3.12E-19,0.0002,0.1599,1379.5101,1644.1614,26.7534,41.7254,304.1846,982.4255,-24.2124,3.9910,0.8571,75
85305,Protein C / S,283.9063,7.3863,90.9382,-10.5728,8.70E-47,5.61E-16,0.0003,3.62E-20,245.1674,322.6452,5.5985,9.1742,41.4417,140.4346,-12.8255,-8.3201,0.6943,75
84478,Triglycerides,29401.7545,-22.7612,7494.3439,-58.8215,0.0000,0.4183,0.0003,0.4196,28181.3576,30622.1514,-77.8803,32.3579,3414.9147,11573.7732,-201.6701,84.0271,0.3240,75
80061,"Lipid Panel (Total, HDL, Triglycerides, and calculated LDL)",965901.8729,6189.0459,193622.0656,-1635.1432,2.22E-262,1.83E-05,0.0004,0.5066,911193.0393,1020610.7066,3357.7691,9020.3226,85744.5189,301499.6124,-6461.0064,3190.7200,0.7306,75
85247,Clotting factors (selective use),278.1806,8.4992,161.6751,-4.3294,9.25E-81,4.34E-22,0.0004,0.0152,249.5329,306.8282,6.7752,10.2231,71.4928,251.8574,-7.8260,-0.8328,0.8103,75
85379,D-dimer,33422.3883,1076.8674,18259.5092,-1773.0110,1.18E-35,2.61E-08,0.0005,1.46E-14,28166.3914,38678.3851,697.6441,1456.0906,8052.3602,28466.6583,-2224.8427,-1321.1794,0.7867,75
86235,ENA panel,17146.5429,178.7980,3792.0486,-2.1167,4.78E-289,1.74E-13,0.0005,0.9662,16221.5959,18071.4899,131.2309,226.3650,1668.4002,5915.6969,-100.0570,95.8236,0.8066,75
93042,"Rhythm ECG (limited, interpretation dependent)",8585.1827,49.4189,1725.3211,-111.9039,5.17E-279,2.10E-06,0.0007,1.55E-08,8113.7487,9056.6168,29.0012,69.8365,727.0285,2723.6137,-150.6843,-73.1234,0.4743,75
Agg_skin_biopsy,,12168.8212,-46.3463,3115.3991,76.7801,3.39E-106,0.0622,0.0008,0.0685,11079.1564,13258.4860,-95.0509,2.3584,1303.1199,4927.6784,-5.8210,159.3813,0.3345,75
Agg_needle_EMG,,17775.6221,94.5601,3909.0965,-35.3790,1.65E-182,0.0011,0.0010,0.4885,16566.2982,18984.9460,37.6378,151.4823,1590.1677,6228.0254,-135.4862,64.7283,0.5820,75
