HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,Deviance,N_obs
86665,EBV antibodies,9.2018,-0.0045,0.1973,0.0144,0.0000,3.88E-177,0.0000,0.0000,9.1954,9.2082,-0.0048,-0.0042,0.1877,0.2070,0.0139,0.0148,21385.3589,69
86769,serology for Covid,10.8843,0.0986,-0.3774,-0.1850,0.0000,0.0000,0.0000,0.0000,10.8801,10.8885,0.0982,0.0990,-0.3809,-0.3739,-0.1854,-0.1845,725855.9404,44
86255,"fluorescent noninfectious agent antibody screen (e.g., ANA, tissue antibodies) performed using immunofluorescence",9.3243,0.0102,0.3035,-0.0562,0.0000,0.0000,0.0000,0.0000,9.3187,9.3299,0.0100,0.0105,0.2957,0.3113,-0.0566,-0.0557,30484.8917,69
86235,ENA panel,9.7557,0.0091,0.1520,-0.0036,0.0000,0.0000,0.0000,4.20E-137,9.7512,9.7603,0.0088,0.0093,0.1461,0.1580,-0.0039,-0.0033,19479.0959,69
93000,ECG,12.1190,0.0013,0.1842,0.0026,0.0000,0.0000,0.0000,0.0000,12.1176,12.1205,0.0013,0.0014,0.1821,0.1863,0.0025,0.0027,208522.8719,69
93005,routine electrocardiogram (ECG/EKG) with at least 12 leads,13.1482,0.0024,0.1592,0.0002,0.0000,0.0000,0.0000,1.71E-11,13.1473,13.1490,0.0024,0.0025,0.1579,0.1604,0.0001,0.0003,149253.5739,69
93010,interpretation and report of a routine 12-lead electrocardiogram,13.6878,0.0038,0.1307,-0.0053,0.0000,0.0000,0.0000,0.0000,13.6871,13.6884,0.0037,0.0038,0.1298,0.1316,-0.0054,-0.0053,149191.1410,69
93306,Echocardiogram,12.2320,0.0041,0.1404,-0.0033,0.0000,0.0000,0.0000,0.0000,12.2307,12.2334,0.0041,0.0042,0.1385,0.1423,-0.0034,-0.0032,128288.8171,69
93303,complete transthoracic echocardiogram (TTE) for congenital cardiac anomalies,10.0818,0.0098,0.0992,-0.0089,0.0000,0.0000,0.0000,0.0000,10.0780,10.0857,0.0097,0.0100,0.0941,0.1043,-0.0092,-0.0087,14813.2858,69
95024,Intradermal testing,8.0655,-0.0051,0.3760,0.0081,0.0000,4.51E-73,0.0000,2.71E-94,8.0542,8.0768,-0.0057,-0.0046,0.3593,0.3927,0.0074,0.0089,11598.7306,69
95004,Percutaneous skin testing,10.0811,-0.0030,0.3209,0.0102,0.0000,2.21E-192,0.0000,0.0000,10.0770,10.0852,-0.0032,-0.0028,0.3150,0.3268,0.0100,0.0105,54826.6112,69
Agg_nerve_conduction,,9.2598,0.0024,0.1658,0.0003,0.0000,1.56E-60,0.0000,0.1952,9.2538,9.2659,0.0021,0.0027,0.1573,0.1744,-0.0001,0.0007,19115.2040,69
Agg_pregnancy_test,,13.1031,-0.0007,0.1141,0.0030,0.0000,4.51E-219,0.0000,0.0000,13.1022,13.1040,-0.0007,-0.0006,0.1128,0.1154,0.0029,0.0030,208219.8983,69
Agg_fluorescent_noninfectious_agent,,9.5763,0.0097,0.2663,-0.0491,0.0000,0.0000,0.0000,0.0000,9.5713,9.5813,0.0094,0.0099,0.2594,0.2732,-0.0494,-0.0487,38359.3705,69
Agg_clotting,,8.4038,0.0175,0.2065,-0.0126,0.0000,0.0000,0.0000,0.0000,8.3952,8.4125,0.0171,0.0178,0.1964,0.2166,-0.0131,-0.0121,9468.3674,69
96137, Psychological or neuropsychological test administration and scoring each additional 30 minutes. ,8.5756,0.0036,0.3313,0.0061,0.0000,8.07E-25,0.0000,2.11E-53,8.5654,8.5858,0.0029,0.0043,0.3187,0.3439,0.0053,0.0069,7319.5129,57
Agg_psychological_testing,,10.9782,-0.0041,0.2357,0.0152,0.0000,5.31E-296,0.0000,0.0000,10.9751,10.9814,-0.0043,-0.0039,0.2315,0.2399,0.0149,0.0154,90258.9016,57
95943,Quantitative autonomic function testing of parasympathetic and sympathetic functions,7.0420,-0.0279,1.3037,-0.1949,0.0000,0.0000,0.0000,0.0000,7.0212,7.0628,-0.0291,-0.0267,1.2558,1.3515,-0.2008,-0.1891,3103.6400,46
96110," Developmental screening, per standardized instrument, with scoring and documentation. ",12.4119,0.0098,0.1753,-0.0094,0.0000,0.0000,0.0000,0.0000,12.4107,12.4131,0.0097,0.0098,0.1737,0.1769,-0.0095,-0.0093,314199.9275,69
95886,Needle EMG,9.7830,0.0053,0.1573,-0.0026,0.0000,0.0000,0.0000,4.96E-67,9.7784,9.7876,0.0051,0.0055,0.1510,0.1636,-0.0029,-0.0023,26187.8392,69
96131," Psychological testing evaluation services, each additional hour. ",8.9211,-8.12E-05,0.3337,0.0087,0.0000,0.7899,0.0000,6.46E-142,8.9124,8.9298,-0.0007,0.0005,0.3226,0.3448,0.0080,0.0094,20017.6344,57
