code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
75561,month,2018-01,73,77061511.0,0.09472952068121271,0.07425282242713765,0.11910815008932481
75561,month,2018-02,65,76816414.0,0.08461733191554607,0.06530587034332827,0.10785173571871186
75561,month,2018-03,131,76672124.0,0.1708574031417207,0.14285350939351935,0.20274638908916437
75561,month,2018-04,162,76587909.0,0.21152163848734923,0.18020332250508786,0.2467183518176185
75561,month,2018-05,198,76388516.0,0.25920126527919457,0.2243529366419957,0.2979287185227143
75561,month,2018-06,70,75959344.0,0.0921545609977885,0.0718390012793495,0.11643174384449521
75561,month,2018-07,131,76353875.0,0.1715695503338894,0.14344893413798684,0.20359145210111024
75561,month,2018-08,140,76065396.0,0.18405215428050883,0.154828052473756,0.21718876005164164
75561,month,2018-09,76,75485517.0,0.1006815651802451,0.07932562199508231,0.1260179922505288
75561,month,2018-10,150,75799027.0,0.19789172227764876,0.16749048942441552,0.23221560099587357
75561,month,2018-11,88,75525925.0,0.1165162823229242,0.09344946555913985,0.14355131862662296
75561,month,2018-12,55,74770615.0,0.07355830896937253,0.05541418506647093,0.09574625001540961
75561,month,2019-01,173,75376060.0,0.22951584362462032,0.19658830140547556,0.2663809172399533
75561,month,2019-02,135,75153292.0,0.17963284961622172,0.15061043718146425,0.21261721773224923
75561,month,2019-03,131,74877560.0,0.17495228209893593,0.14627722893287495,0.2076055400950119
75561,month,2019-04,198,75071007.0,0.26375029177376025,0.22829036901455277,0.3031574184389435
75561,month,2019-05,222,74812854.0,0.29674045051135195,0.2589870063310996,0.3384496544602721
75561,month,2019-06,114,74215582.0,0.15360655663927825,0.12670646733182717,0.18452839672676202
75561,month,2019-07,121,74488451.0,0.16244128905298352,0.13478947436125552,0.19409661217338803
75561,month,2019-08,199,75037460.0,0.2652008743366313,0.22963236417221713,0.30471812476466087
75561,month,2019-09,99,75625105.0,0.13090890915126663,0.10639630167018661,0.1593768997122787
75561,month,2019-10,166,75011359.0,0.22129981673842222,0.18891499222315558,0.25764333919172583
75561,month,2019-11,97,74622336.0,0.1299878899529492,0.10541142208980475,0.15857420214292653
75561,month,2019-12,49,74254894.0,0.0659889165015844,0.048818963702014224,0.08724084717287225
75561,month,2020-01,165,74732556.0,0.22078730988406176,0.18838365037489127,0.2571647363576452
75561,month,2020-02,121,74443888.0,0.1625385283476865,0.1348701609496019,0.19421280072238323
75561,month,2020-06,172,78055480.0,0.220356085184538,0.18865448802871487,0.25586032005787357
75561,month,2020-07,144,79309251.0,0.18156772152595413,0.1531239037900704,0.21376259491788807
75561,month,2020-08,224,80202982.0,0.2792913610119883,0.24391147070739827,0.3183608006773007
75561,month,2020-09,195,80938780.0,0.240922830811139,0.2082928569970348,0.27721449499394474
75561,month,2020-10,263,83848958.0,0.31365923473968516,0.27689338103582023,0.3539483037143519
75561,month,2020-11,212,85021129.0,0.2493497822170769,0.21691210899835695,0.28527002244952504
75561,month,2020-12,293,83327207.0,0.3516258501259979,0.31251231081681874,0.3942809226574911
75561,month,2021-01,197,84904129.0,0.23202640710206213,0.2007554196563057,0.2667876586516972
75561,month,2021-02,225,85397214.0,0.26347463747470734,0.23017008953549123,0.3002441532009824
75561,month,2021-03,379,85910366.0,0.44115747336008326,0.3978558010961625,0.4878862796610488
75561,month,2021-04,307,86730928.0,0.3539683098974797,0.3154761535044223,0.39586151765239486
75561,month,2021-05,246,87232698.0,0.28200434658114093,0.24786232880043962,0.3195352228681592
75561,month,2021-06,397,87595760.0,0.4532182836246868,0.40972713939111893,0.5000693241792867
75561,month,2021-07,339,88407727.0,0.38345064566584774,0.3437137592586244,0.42652106888370533
75561,month,2021-08,350,89007226.0,0.393226500509071,0.3531045625998949,0.4366585908502257
75561,month,2021-09,324,89384641.0,0.3624783814928562,0.32407932177668974,0.40417588470517135
75561,month,2021-10,391,90288880.0,0.433054435939398,0.39118869536175166,0.47818026449878676
75561,month,2021-11,320,90916915.0,0.3519697077271045,0.3144581458830395,0.39272448930610276
75561,month,2021-12,181,91152624.0,0.19856806316404013,0.17069275483192922,0.22969761701935956
75561,month,2022-01,252,92054533.0,0.27375077770477635,0.2409921981611001,0.30971990966053214
75561,month,2022-02,268,92416336.0,0.28999202045837436,0.25630901620015767,0.32687102204730867
75561,month,2022-03,442,92843565.0,0.4760696123635494,0.4327163561260979,0.5225901249591666
75561,month,2022-04,399,93447612.5,0.426977200728376,0.38610439268062174,0.4709993724522126
75561,month,2022-05,289,94051660.0,0.30727793640218576,0.27286880173609773,0.3448251852402435
75561,month,2022-06,387,94517722.0,0.4094470241252747,0.36966473184533943,0.45234381007976115
75561,month,2022-07,292,95111777.0,0.30700719638536456,0.27280017760681236,0.34431704533686164
75561,month,2022-08,484,95824368.0,0.5050907301574897,0.461088997409658,0.5521590672820894
75561,month,2022-09,290,96242503.0,0.3013221715565731,0.26763645666148533,0.3380744637898356
75561,month,2022-10,319,96904625.0,0.32918965426056807,0.2940525130625632,0.3673697045714899
75561,month,2022-11,343,97433463.0,0.35203511138673166,0.31576132407270774,0.3913333195682405
75561,month,2022-12,302,97814451.0,0.3087478352252879,0.2749044446146163,0.34560736138929304
75561,month,2023-01,390,98743626.0,0.39496220242104535,0.35673137418954803,0.4361740427652833
75561,month,2023-02,540,99047187.0,0.5451946858420119,0.5001747064576941,0.5931791237377025
75561,month,2023-03,572,99895730.0,0.5725970469408452,0.5266278154522708,0.6215043732926941
75561,month,2023-04,521,100100536.0,0.5204767335111972,0.4767382496645502,0.5671492325692566
75561,month,2023-05,637,99734767.0,0.6386940273295069,0.5900516142945419,0.6902771506232939
75561,month,2023-06,490,98529848.0,0.49731123100890195,0.4542472519245386,0.5433573362993163
75561,month,2023-07,537,97857412.0,0.548757614803874,0.5033197567922028,0.5971960926200698
75561,month,2023-08,627,96623612.0,0.6489097095645731,0.5991045687799282,0.7017505630789331
