slide_title,source_slide_number,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2018-Q1,6461,230550049.0,2.802428378577356,2.734506770259599,2.871610657330124
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2018-Q2,6105,228935769.0,2.666686829527281,2.6002090296945886,2.7344343416008123
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2018-Q3,5075,227904788.0,2.22680709981398,2.1659587124976363,2.2889314738614654
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2018-Q4,4101,226095567.0,1.8138347666055743,1.7587410675390482,1.8702153440416727
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2019-Q1,6668,225406912.0,2.958205647216355,2.8876234536660186,3.03007719175262
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2019-Q2,9022,224099443.0,4.025891309332706,3.9432419859329926,4.109836757289792
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2019-Q3,8512,225151016.0,3.7805736572825412,3.7006813907020475,3.861756129712854
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2019-Q4,7035,223888589.0,3.1421878316451406,3.069186074854507,3.216487542081407
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2020-Q1,4480,149176444.0,3.0031551093951534,2.915851664388881,3.0924085380268376
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2020-Q2,1428,78055480.0,1.8294679630437223,1.7357997121509492,1.9268773230031222
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2020-Q3,5922,240451013.0,2.46287172015366,2.400539383349766,2.52641304212901
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2020-Q4,5312,252197294.0,2.106287468730731,2.0500222043815444,2.1637056898223133
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2021-Q1,6950,256211709.0,2.712600461206869,2.649197252215573,2.7771379045013433
HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),6,HCPCS 95921 - Cardiovagal (heart rate variability with deep breathing) (75 months of data),quarter,2021-Q2,7837,261559386.0,2.9962602833147804,2.9302866172505055,3.063344732747845
