code,url,description
99170,https://www.aapc.com/codes/cpt-codes/99170/,"The Current Procedural Terminology (CPT ® ) code 99170 as maintained by American Medical Association, is a medical procedural code under the range - Other Medicine Services and Procedures."
99500,https://www.aapc.com/codes/cpt-codes/99500/,"The Current Procedural Terminology (CPT ® ) code 99500 as maintained by American Medical Association, is a medical procedural code under the range - Home Visit Services."
99605,https://www.aapc.com/codes/cpt-codes/99605/,"The Current Procedural Terminology (CPT ® ) code 99605 as maintained by American Medical Association, is a medical procedural code under the range - Medication Therapy Management Services."
93000,https://www.aapc.com/codes/cpt-codes/93000/,"The Current Procedural Terminology (CPT ® ) code 93000 as maintained by American Medical Association, is a medical procedural code under the range - Cardiography Procedures."
93150,https://www.aapc.com/codes/cpt-codes/93150/,"The Current Procedural Terminology (CPT ® ) code 93150 as maintained by American Medical Association, is a medical procedural code under the range - Phrenic Nerve Stimulation System."
93224,https://www.aapc.com/codes/cpt-codes/93224/,"The Current Procedural Terminology (CPT ® ) code 93224 as maintained by American Medical Association, is a medical procedural code under the range - Cardiovascular Monitoring Services."
93279,https://www.aapc.com/codes/cpt-codes/93279/,"The Current Procedural Terminology (CPT ® ) code 93279 as maintained by American Medical Association, is a medical procedural code under the range - Programming device evaluation (in person) with iterative adjustment."
93303,https://www.aapc.com/codes/cpt-codes/93303/,"The Current Procedural Terminology (CPT ® ) code 93303 as maintained by American Medical Association, is a medical procedural code under the range - Echocardiography Procedures."
93451,https://www.aapc.com/codes/cpt-codes/93451/,"The Current Procedural Terminology (CPT ® ) code 93451 as maintained by American Medical Association, is a medical procedural code under the range - Cardiac Catheterization and Associated Procedures."
93600,https://www.aapc.com/codes/cpt-codes/93600/,"The Current Procedural Terminology (CPT ® ) code 93600 as maintained by American Medical Association, is a medical procedural code under the range - Intracardiac Electrophysiological Procedures/Studies."
93668,https://www.aapc.com/codes/cpt-codes/93668/,"The Current Procedural Terminology (CPT ® ) code 93668 as maintained by American Medical Association, is a medical procedural code under the range - Peripheral Arterial Disease Rehabilitation."
93701,https://www.aapc.com/codes/cpt-codes/93701/,"The Current Procedural Terminology (CPT ® ) code 93701 as maintained by American Medical Association, is a medical procedural code under the range - Non-invasive Physiologic Studies and Procedures."
93799,https://www.aapc.com/codes/cpt-codes/93799/,"The Current Procedural Terminology (CPT ® ) code 93799 as maintained by American Medical Association, is a medical procedural code under the range - Other Cardiovascular Procedures."
90399,https://www.aapc.com/codes/cpt-codes/90399/,"The Current Procedural Terminology (CPT ® ) code 90399 as maintained by American Medical Association, is a medical procedural code under the range - Immune Globulins, Serum or Recombinant Products."
90484,https://www.aapc.com/codes/cpt-codes/90484/,"The Current Procedural Terminology (CPT ® ) code 90484 as maintained by American Medical Association, is a medical procedural code under the range - Immunization Administration for Vaccines/Toxoids."
90759,https://www.aapc.com/codes/cpt-codes/90759/,"The Current Procedural Terminology (CPT ® ) code 90759 as maintained by American Medical Association, is a medical procedural code under the range - Vaccines, Toxoids."
