column,0.01,0.05,0.25,0.5,0.75,0.95,0.99
TOTAL_UNIQUE_BENEFICIARIES,12.0,12.0,15.0,22.0,39.0,133.0,413.0
TOTAL_CLAIMS,12.0,13.0,18.0,28.0,54.0,218.0,841.0
TOTAL_PAID,0.0,0.0,85.8,616.4300000000001,1949.7,11610.810499999976,71653.35959999972
